species,country_of_origin,number_of_bags,bag_weight,processing_method,aroma,flavor,body,uniformity
Arabica,Mexico,275,2.0,Washed,7.75,7.75,7.5,10.0
Arabica,Ethiopia,250,60.0,Washed,7.75,7.67,7.5,10.0
Arabica,Uganda,100,60.0,Washed,7.67,7.67,7.75,10.0
Arabica,Colombia,250,70.0,Natural,7.67,7.58,7.67,10.0
Arabica,Colombia,250,70.0,Washed,7.67,7.58,7.67,10.0
Arabica,Colombia,250,70.0,Washed,7.75,7.58,7.75,10.0
Arabica,Taiwan,10,30.0,Other,7.75,7.75,7.5,10.0
Arabica,Colombia,275,70.0,Washed,7.67,7.67,7.75,10.0
Arabica,Mexico,250,1.0,Washed,7.83,7.67,7.67,10.0
Arabica,Brazil,33,60.0,Semi-Washed,7.83,7.75,7.5,10.0
Arabica,Colombia,50,70.0,Washed,7.75,7.58,7.75,10.0
Arabica,Costa Rica,245,69.0,Washed,7.92,7.42,7.5,10.0
Arabica,Colombia,250,70.0,Natural,7.75,7.58,7.75,10.0
Arabica,Guatemala,250,69.0,Washed,7.67,7.75,7.58,10.0
Arabica,Colombia,180,70.0,Washed,7.58,7.58,7.75,10.0
Arabica,"Tanzania, United Republic Of",5,60.0,Washed,7.75,7.67,7.67,10.0
Arabica,Indonesia,200,30.0,Semi-Washed,7.25,7.67,7.83,10.0
Arabica,Ethiopia,320,60.0,Natural,7.67,7.75,7.75,10.0
Arabica,Colombia,275,2.0,Washed,7.67,7.42,7.58,10.0
Arabica,Colombia,275,70.0,Washed,8.0,7.58,7.92,10.0
Arabica,Guatemala,250,1.0,Washed,7.58,7.75,7.42,10.0
Arabica,Colombia,250,70.0,Washed,7.75,7.58,7.83,10.0
Arabica,Honduras,275,1.0,Natural,7.67,7.5,7.67,10.0
Arabica,Colombia,250,70.0,Washed,7.58,7.75,7.75,10.0
Arabica,Colombia,250,70.0,Washed,7.58,7.67,7.58,10.0
Arabica,Mexico,10,1.0,Natural,7.83,7.58,7.5,10.0
Arabica,Mexico,10,1.0,Semi-Washed,7.67,7.75,7.58,10.0
Arabica,Mexico,15,1.0,Washed,7.75,7.67,7.33,10.0
Arabica,Guatemala,275,69.0,Washed,7.83,7.5,7.67,10.0
Arabica,Colombia,175,70.0,Washed,7.67,7.58,7.67,10.0
Arabica,Guatemala,250,2.0,Washed,7.5,7.5,8.0,10.0
Arabica,Colombia,300,29.0,Washed,7.5,7.58,7.75,10.0
Arabica,Guatemala,50,69.0,Washed,7.67,7.75,7.58,10.0
Arabica,Colombia,600,29.0,Washed,7.67,7.67,7.67,10.0
Arabica,Costa Rica,275,69.0,Washed,7.58,7.5,7.5,10.0
Arabica,Uganda,20,1218.0,Washed,7.58,7.75,7.67,10.0
Arabica,Thailand,500,25.0,Washed,7.5,7.58,7.75,10.0
Arabica,El Salvador,275,69.0,Washed,7.58,7.5,7.75,10.0
Arabica,Colombia,275,70.0,Natural,7.58,7.67,7.58,10.0
Arabica,Brazil,300,60.0,Semi-Washed,7.33,7.83,7.42,10.0
Arabica,"Tanzania, United Republic Of",39,60.0,Washed,7.75,7.67,7.58,10.0
Arabica,Colombia,250,70.0,Washed,7.58,7.58,7.75,9.33
Arabica,Guatemala,250,69.0,Natural,7.75,7.83,7.5,10.0
Arabica,Guatemala,250,69.0,Washed,7.67,7.5,7.75,10.0
Arabica,United States (Hawaii),13,45.3592,Natural,7.42,7.75,7.67,10.0
Arabica,Colombia,250,70.0,Washed,7.5,7.75,7.67,10.0
Arabica,Colombia,275,70.0,Washed,7.75,7.5,7.58,10.0
Arabica,Colombia,130,70.0,Washed,7.67,7.58,7.67,10.0
Arabica,Colombia,275,70.0,Washed,7.83,7.58,7.5,10.0
Arabica,Brazil,10,2.0,Semi-Washed,7.5,7.83,7.58,10.0
Arabica,Mexico,275,1.0,Washed,7.75,7.75,7.5,10.0
Arabica,Colombia,275,70.0,Washed,7.67,7.75,7.83,10.0
Arabica,"Tanzania, United Republic Of",10,60.0,Semi-Washed,7.75,7.58,7.58,10.0
Arabica,Mexico,200,1.0,Washed,7.67,7.67,7.5,10.0
Arabica,Costa Rica,250,1.360776,Washed,7.67,7.67,7.67,10.0
Arabica,United States (Hawaii),12,45.3592,Natural,7.83,7.58,7.92,9.33
Arabica,Costa Rica,250,1.0,Washed,7.5,7.67,7.83,10.0
Arabica,Peru,280,2.26796,Washed,7.83,7.75,7.92,9.33
Arabica,Haiti,2,1.814368,Washed,7.58,7.5,7.83,10.0
Arabica,Colombia,250,70.0,Natural,7.67,7.67,7.92,10.0
Arabica,United States (Hawaii),7,45.3592,Natural,7.92,7.5,7.67,9.33
Arabica,Burundi,220,60.0,Washed,7.75,7.67,7.5,10.0
Arabica,Colombia,250,70.0,Washed,7.5,7.67,7.67,10.0
Arabica,Mexico,50,50.0,Washed,7.67,7.83,7.33,10.0
Arabica,Costa Rica,29,46.0,Pulped-Natural,7.5,7.5,7.67,10.0
Arabica,Costa Rica,275,69.0,Washed,7.83,7.5,7.5,10.0
Arabica,Guatemala,275,0.0,Washed,7.5,7.58,7.67,10.0
Arabica,Uganda,150,9000.0,Washed,7.5,7.67,7.67,10.0
Arabica,Colombia,304,35.0,Natural,7.58,7.67,7.75,10.0
Arabica,Mexico,11,2.0,Natural,7.83,7.75,7.58,10.0
Arabica,Taiwan,10,15.0,Washed,7.67,7.5,7.67,10.0
Arabica,Taiwan,10,60.0,Washed,7.92,7.83,7.5,10.0
Arabica,Colombia,250,70.0,Natural,7.58,7.58,7.58,10.0
Arabica,Guatemala,26,69.0,Washed,7.5,7.67,7.67,10.0
Arabica,Colombia,275,70.0,Washed,7.83,7.5,7.67,10.0
Arabica,Mexico,200,1.0,Washed,7.58,7.75,7.58,10.0
Arabica,United States (Hawaii),11,45.3592,Natural,7.58,7.75,8.08,9.33
Arabica,Mexico,10,1.0,Washed,7.75,7.58,7.5,10.0
Arabica,Mexico,54,1.0,Washed,7.75,7.75,7.33,10.0
Arabica,Guatemala,250,1.0,Washed,7.83,7.58,7.42,10.0
Arabica,Brazil,30,60.0,Semi-Washed,7.75,7.67,7.58,10.0
Arabica,Colombia,250,70.0,Washed,7.67,7.58,7.83,10.0
Arabica,Colombia,175,70.0,Washed,7.67,7.67,7.58,10.0
Arabica,Brazil,320,60.0,Natural,7.67,7.42,7.67,10.0
Arabica,Guatemala,275,69.0,Washed,7.58,7.58,7.75,10.0
Arabica,"Tanzania, United Republic Of",320,60.0,Washed,7.67,7.58,7.67,10.0
Arabica,Vietnam,1,2.0,Natural,7.58,7.42,7.58,10.0
Arabica,Guatemala,250,1500.0,Washed,7.67,7.75,7.58,10.0
Arabica,Honduras,275,69.0,Washed,7.67,7.67,7.5,10.0
Arabica,China,3,60.0,Washed,7.5,7.67,7.67,10.0
Arabica,China,3,60.0,Washed,7.67,7.67,7.42,10.0
Arabica,El Salvador,275,69.0,Washed,7.5,7.5,8.0,10.0
Arabica,Guatemala,150,69.0,Washed,7.5,7.75,7.58,10.0
Arabica,Guatemala,100,69.0,Washed,7.92,7.67,7.5,10.0
Arabica,Kenya,300,2.0,Washed,7.83,7.75,7.83,9.33
Arabica,Thailand,1,1.0,Washed,7.67,7.58,7.42,10.0
Arabica,"Tanzania, United Republic Of",180,60.0,Washed,7.58,7.67,7.42,10.0
Arabica,Colombia,232,70.0,Washed,7.58,7.5,7.5,10.0
Arabica,Uganda,84,60.0,Washed,8.0,7.67,7.33,10.0
Arabica,Colombia,1,1.814368,Washed,7.58,7.75,7.58,10.0
Arabica,Honduras,275,1.0,Natural,7.5,7.5,7.67,10.0
Arabica,Honduras,275,1.0,Natural,7.67,7.67,7.5,10.0
Arabica,Guatemala,200,69.0,Washed,7.33,7.83,7.33,10.0
Arabica,United States (Hawaii),6,45.3592,Natural,7.5,7.5,7.92,10.0
Arabica,"Tanzania, United Republic Of",300,1.0,Washed,7.58,7.5,7.58,10.0
Arabica,Guatemala,250,69.0,Washed,7.67,7.83,7.5,10.0
Arabica,Mexico,45,1.0,Washed,7.75,7.58,7.5,10.0
Arabica,Mexico,10,1.0,Washed,7.75,7.67,7.42,10.0
Arabica,Mexico,10,1.0,Washed,7.58,7.75,7.5,10.0
Arabica,Colombia,275,70.0,Washed,7.67,7.5,7.58,10.0
Arabica,Mexico,15,1.0,Washed,7.75,7.5,7.58,10.0
Arabica,Mexico,250,1.0,Washed,7.5,7.75,7.67,10.0
Arabica,Brazil,50,60.0,Natural,7.75,7.67,7.58,10.0
Arabica,Brazil,100,60.0,Natural,7.92,7.58,7.42,10.0
Arabica,Guatemala,250,2.0,Washed,7.75,7.5,7.92,10.0
Arabica,Brazil,25,60.0,Semi-Washed,7.75,7.5,7.75,10.0
Arabica,Colombia,275,70.0,Washed,7.58,7.67,7.75,10.0
Arabica,Colombia,275,70.0,Washed,7.75,7.5,8.0,10.0
Arabica,Brazil,320,60.0,Pulped-Natural,7.58,7.58,7.67,10.0
Arabica,Brazil,320,2.0,Natural,7.33,7.67,7.75,10.0
Arabica,Taiwan,20,60.0,Natural,7.83,7.92,7.67,9.33
Arabica,Brazil,300,60.0,Natural,7.42,7.67,7.75,10.0
Arabica,Brazil,300,2.0,Washed,7.58,7.83,7.42,10.0
Arabica,Costa Rica,250,1.0,Washed,7.83,7.33,7.58,10.0
Arabica,United States (Hawaii),16,45.3592,Natural,7.33,7.75,7.83,10.0
Arabica,Taiwan,50,30.0,Other,7.75,7.75,7.5,10.0
Arabica,United States (Hawaii),6,45.3592,Natural,7.83,7.83,7.75,10.0
Arabica,Mexico,10,1.0,Washed,7.75,7.67,7.5,10.0
Arabica,United States (Hawaii),7,45.3592,Natural,7.67,7.58,7.92,9.33
Arabica,United States (Hawaii),6,45.3592,Washed,7.33,7.58,7.67,10.0
Arabica,Brazil,320,60.0,Natural,7.58,7.5,7.67,10.0
Arabica,Brazil,320,60.0,Natural,7.5,7.58,7.58,10.0
Arabica,Brazil,320,60.0,Natural,7.5,7.67,7.58,10.0
Arabica,Uganda,310,60.0,Washed,7.67,7.58,7.83,10.0
Arabica,Uganda,325,60.0,Natural,7.67,7.67,7.42,10.0
Arabica,Vietnam,2,2.0,Other,7.75,7.67,7.42,9.33
Arabica,Guatemala,275,69.0,Washed,7.67,7.75,7.42,10.0
Arabica,Guatemala,200,69.0,Washed,7.75,7.67,7.5,10.0
Arabica,Guatemala,250,69.0,Washed,7.83,7.67,7.75,10.0
Arabica,Brazil,305,2.0,Natural,7.67,7.67,7.42,10.0
Arabica,Taiwan,10,60.0,Washed,7.92,7.92,7.33,10.0
Arabica,Uganda,300,60.0,Washed,7.83,7.58,7.58,10.0
Arabica,United States (Puerto Rico),17,2.26796,Washed,7.67,7.5,7.75,10.0
Arabica,Guatemala,26,69.0,Washed,7.67,7.67,7.5,10.0
Arabica,Costa Rica,250,1.0,Washed,7.67,7.58,7.5,10.0
Arabica,Brazil,250,2.0,Semi-Washed,7.75,7.58,7.42,10.0
Arabica,Colombia,120,70.0,Washed,7.75,7.42,7.58,10.0
Arabica,Colombia,250,70.0,Washed,7.83,7.5,7.5,10.0
Arabica,Colombia,250,70.0,Natural,7.33,7.67,7.75,10.0
Arabica,Colombia,250,70.0,Natural,7.58,7.75,7.58,10.0
Arabica,Colombia,275,70.0,Washed,7.5,7.5,7.75,10.0
Arabica,Mexico,15,1.0,Washed,7.67,7.58,7.67,10.0
Arabica,Mexico,20,1.0,Semi-Washed,7.67,7.83,7.58,9.33
Arabica,Mexico,250,1.0,Washed,7.5,7.67,7.58,10.0
Arabica,Colombia,250,70.0,Natural,7.67,7.58,7.75,10.0
Arabica,Colombia,250,70.0,Washed,7.75,7.58,7.83,9.33
Arabica,Guatemala,275,1.0,Washed,7.5,7.67,7.5,10.0
Arabica,Colombia,121,1.0,Washed,7.67,7.67,7.67,10.0
Arabica,Brazil,320,60.0,Natural,7.67,7.58,7.58,10.0
Arabica,El Salvador,100,69.0,Washed,7.5,7.5,7.92,10.0
Arabica,Colombia,129,70.0,Washed,7.58,7.67,7.67,10.0
Arabica,Taiwan,10,20.0,Natural,7.17,7.83,7.67,10.0
Arabica,Ethiopia,250,60.0,Washed,7.58,7.58,7.58,10.0
Arabica,Taiwan,11,2.0,Natural,7.5,7.58,7.5,10.0
Arabica,Philippines,250,2.0,Washed,7.58,7.58,7.5,10.0
Arabica,Philippines,4,2.0,Washed,8.08,7.5,7.33,10.0
Arabica,Mexico,11,2.0,Natural,7.83,7.67,7.5,10.0
Arabica,Mexico,275,2.0,Washed,7.75,7.67,7.75,10.0
Arabica,Brazil,300,2.0,Semi-Washed,7.08,7.5,7.75,10.0
Arabica,Uganda,1,60.0,Washed,8.0,7.5,7.33,10.0
Arabica,Uganda,1,60.0,Washed,7.75,7.58,7.5,10.0
Arabica,Guatemala,250,69.0,Washed,7.75,7.5,7.67,10.0
Arabica,Guatemala,26,69.0,Natural,7.67,7.83,7.33,10.0
Arabica,Guatemala,1,2.0,Washed,7.58,7.58,7.58,10.0
Arabica,Colombia,250,70.0,Washed,7.58,7.5,7.58,10.0
Arabica,Colombia,250,70.0,Natural,7.75,7.5,7.75,10.0
Arabica,Guatemala,250,69.0,Washed,7.83,7.75,7.5,10.0
Arabica,Colombia,250,70.0,Washed,7.83,7.67,7.5,10.0
Arabica,Mexico,15,1.0,Natural,7.58,7.58,7.58,10.0
Arabica,Vietnam,1,2.0,Natural,7.67,7.33,8.08,10.0
Arabica,Mexico,100,1.0,Washed,8.0,7.92,7.67,9.33
Arabica,United States (Hawaii),8,45.3592,Washed,7.5,7.5,7.67,10.0
Arabica,Kenya,27,50.0,Washed,7.75,7.58,7.5,10.0
Arabica,Guatemala,50,69.0,Washed,7.5,7.58,7.58,10.0
Arabica,Brazil,320,60.0,Pulped-Natural,7.67,7.58,7.5,10.0
Arabica,El Salvador,275,69.0,Washed,7.33,7.67,7.33,10.0
Arabica,Rwanda,150,60.0,Washed,7.83,7.92,7.75,9.33
Arabica,Vietnam,3,2.0,Other,7.25,7.58,7.75,10.0
Arabica,Guatemala,80,69.0,Washed,7.58,7.58,7.67,10.0
Arabica,Brazil,300,60.0,Natural,7.58,7.83,7.42,10.0
Arabica,Colombia,100,24.0,Washed,7.83,7.67,7.5,10.0
Arabica,United States,300,60.0,Other,7.42,7.58,7.75,10.0
Arabica,Guatemala,250,69.0,Washed,7.67,7.67,7.42,10.0
Arabica,Colombia,40,1.0,Natural,7.5,7.42,7.58,10.0
Arabica,Colombia,125,70.0,Washed,7.83,7.5,7.5,10.0
Arabica,"Tanzania, United Republic Of",300,2.0,Washed,7.67,7.5,7.58,10.0
Arabica,Mexico,250,1.0,Washed,7.58,7.67,7.5,10.0
Arabica,Mexico,250,1.0,Washed,7.67,7.58,7.42,10.0
Arabica,Guatemala,250,1.0,Washed,7.67,7.67,7.33,10.0
Arabica,Mexico,250,1.0,Washed,7.58,7.58,7.67,10.0
Arabica,Guatemala,275,69.0,Washed,7.5,7.58,7.58,10.0
Arabica,Guatemala,275,69.0,Washed,7.58,7.67,7.5,10.0
Arabica,Guatemala,50,69.0,Washed,7.5,7.67,7.67,10.0
Arabica,Guatemala,50,69.0,Washed,7.5,7.5,7.67,10.0
Arabica,Guatemala,25,69.0,Washed,7.42,7.58,7.5,10.0
Arabica,Indonesia,2,1.0,Other,7.5,7.58,7.58,10.0
Arabica,Guatemala,25,69.0,Washed,7.58,7.58,7.33,10.0
Arabica,Taiwan,8,10.0,Natural,7.83,7.67,7.58,9.33
Arabica,El Salvador,275,69.0,Washed,7.67,7.67,7.58,10.0
Arabica,Costa Rica,250,69.0,Washed,7.58,7.5,7.42,10.0
Arabica,Honduras,275,69.0,Natural,7.58,7.5,7.5,10.0
Arabica,Brazil,320,60.0,Pulped-Natural,7.5,7.5,7.58,10.0
Arabica,China,3,60.0,Natural,7.67,7.5,7.67,10.0
Arabica,China,3,60.0,Washed,7.5,7.67,7.5,10.0
Arabica,Colombia,250,70.0,Washed,7.5,7.58,7.33,10.0
Arabica,Malawi,29,60.0,Washed,7.75,7.58,7.33,10.0
Arabica,Guatemala,250,69.0,Washed,7.75,7.42,7.5,10.0
Arabica,Colombia,275,1.0,Washed,7.67,7.42,7.33,10.0
Arabica,United States (Hawaii),10,36.28736,Natural,7.67,7.58,7.33,10.0
Arabica,United States (Hawaii),6,45.3592,Natural,7.58,7.83,7.42,9.33
Arabica,Colombia,250,1.0,Washed,7.58,7.33,7.25,10.0
Arabica,Mexico,32,1.0,Washed,7.58,7.58,7.5,10.0
Arabica,Mexico,250,1.0,Washed,7.58,7.58,7.25,10.0
Arabica,Mexico,21,1.0,Natural,8.08,8.17,7.83,6.67
Arabica,Colombia,250,70.0,Washed,7.5,7.58,7.5,10.0
Arabica,Colombia,100,70.0,Washed,7.67,7.58,7.5,10.0
Arabica,United States (Hawaii),6,45.3592,Washed,7.25,7.75,7.67,9.33
Arabica,Panama,300,2.0,Washed,7.42,7.42,7.5,10.0
Arabica,Brazil,320,60.0,Natural,7.5,7.58,7.5,10.0
Arabica,Laos,60,50.0,Washed,7.67,7.67,7.42,10.0
Arabica,El Salvador,275,69.0,Washed,7.67,7.67,7.5,10.0
Arabica,Colombia,1,2.0,Washed,7.75,7.5,7.33,10.0
Arabica,Brazil,320,2.0,Natural,7.58,7.5,7.5,10.0
Arabica,Brazil,300,60.0,Natural,7.33,7.5,7.67,10.0
Arabica,"Tanzania, United Republic Of",93,60.0,Washed,7.5,7.5,7.5,10.0
Arabica,"Tanzania, United Republic Of",77,60.0,Washed,7.58,7.5,7.33,10.0
Arabica,Taiwan,10,60.0,Washed,8.0,7.83,7.25,10.0
Arabica,Mexico,11,1.0,Natural,7.67,7.58,7.42,10.0
Arabica,Uganda,1,60.0,Washed,7.67,7.5,7.5,10.0
Arabica,Taiwan,10,30.0,Washed,7.67,7.5,7.5,10.0
Arabica,Thailand,300,60.0,Washed,7.42,7.5,7.58,10.0
Arabica,Colombia,250,70.0,Washed,7.75,7.58,7.58,10.0
Arabica,El Salvador,288,1.0,Washed,7.92,8.0,7.92,10.0
Arabica,Guatemala,275,69.0,Washed,7.67,7.67,7.5,10.0
Arabica,Thailand,2,1.0,Washed,7.83,7.33,7.58,10.0
Arabica,Mexico,36,1.0,Washed,7.58,7.58,7.42,10.0
Arabica,Mexico,23,1.0,Washed,7.5,7.58,7.42,10.0
Arabica,Guatemala,25,69.0,Washed,7.5,7.42,7.5,10.0
Arabica,Taiwan,6,5.0,Pulped-Natural,7.67,7.42,7.58,10.0
Arabica,Brazil,198,59.0,Pulped-Natural,7.5,7.58,7.75,10.0
Arabica,Indonesia,150,2.0,Semi-Washed,7.83,7.58,7.42,10.0
Arabica,Thailand,1,1.0,Washed,7.75,7.33,7.42,10.0
Arabica,Thailand,50,20.0,Washed,7.42,7.58,7.58,10.0
Arabica,"Tanzania, United Republic Of",10,60.0,Washed,7.75,7.42,7.58,10.0
Arabica,Uganda,1,60.0,Natural,7.83,7.5,7.42,10.0
Arabica,Costa Rica,250,1.0,Washed,7.67,7.42,7.0,10.0
Arabica,Mexico,320,2.26796,Washed,7.58,7.58,7.67,9.33
Arabica,Guatemala,1,2.0,Natural,7.5,7.58,7.42,10.0
Arabica,Colombia,250,70.0,Washed,7.75,7.25,7.5,10.0
Arabica,Colombia,250,70.0,Washed,7.75,7.5,7.33,10.0
Arabica,Colombia,250,70.0,Washed,7.58,7.5,7.67,10.0
Arabica,Mexico,50,1.0,Washed,7.5,7.58,7.42,10.0
Arabica,Mexico,70,1.0,Washed,7.67,7.58,7.67,10.0
Arabica,Colombia,275,70.0,Washed,7.33,7.42,7.67,10.0
Arabica,Brazil,320,60.0,Natural,7.5,7.5,7.58,10.0
Arabica,Indonesia,2,1.0,Washed,7.83,7.75,7.42,10.0
Arabica,Honduras,275,69.0,Washed,7.58,7.58,7.5,10.0
Arabica,Thailand,1,1.0,Washed,7.5,7.83,7.33,9.33
Arabica,Thailand,50,20.0,Washed,7.33,7.5,7.67,10.0
Arabica,"Tanzania, United Republic Of",37,60.0,Washed,7.67,7.42,7.5,10.0
Arabica,"Tanzania, United Republic Of",5,60.0,Washed,7.75,7.0,7.58,10.0
Arabica,Mexico,2,2.0,Washed,7.42,7.58,7.25,10.0
Arabica,Brazil,69,60.0,Semi-Washed,7.42,7.5,7.42,10.0
Arabica,Guatemala,250,69.0,Washed,7.83,7.42,7.42,10.0
Arabica,Colombia,250,70.0,Washed,7.5,7.5,7.58,10.0
Arabica,Guatemala,250,69.0,Washed,7.83,7.67,7.5,10.0
Arabica,Mexico,10,1.0,Washed,7.5,7.58,7.42,10.0
Arabica,Mexico,10,1.0,Washed,7.67,7.5,7.5,10.0
Arabica,Mexico,28,1.0,Semi-Washed,7.92,7.5,7.25,10.0
Arabica,Guatemala,275,1.0,Natural,7.67,7.33,7.5,10.0
Arabica,Brazil,300,60.0,Semi-Washed,7.67,7.42,7.5,10.0
Arabica,Colombia,275,70.0,Washed,7.67,7.5,7.25,10.0
Arabica,United States (Hawaii),7,45.3592,Washed,7.33,7.42,7.42,10.0
Arabica,Honduras,1,2.0,Washed,7.42,7.67,7.58,10.0
Arabica,Guatemala,50,69.0,Washed,7.58,7.5,7.33,10.0
