country_of_origin,species,processing_method,cupper_points,YumScore
Honduras,Arabica,Washed / Wet,7.5,0.8210000000000001
China,Arabica,Washed / Wet,7.67,0.8210000000000001
China,Arabica,Washed / Wet,7.67,0.819
El Salvador,Arabica,Washed / Wet,7.5,0.825
Guatemala,Arabica,Washed / Wet,7.5,0.82075
Guatemala,Arabica,Washed / Wet,7.42,0.82725
Kenya,Arabica,Washed / Wet,7.83,0.8185
Thailand,Arabica,Washed / Wet,7.5,0.8167500000000001
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.67,0.8167500000000001
Colombia,Arabica,Washed / Wet,7.75,0.8145
Uganda,Arabica,Washed / Wet,7.67,0.825
Colombia,Arabica,Washed / Wet,7.58,0.8227499999999999
Honduras,Arabica,Natural / Dry,7.67,0.8167500000000001
Honduras,Arabica,Natural / Dry,7.5,0.8210000000000001
Guatemala,Arabica,Washed / Wet,7.67,0.81225
United States (Hawaii),Arabica,Natural / Dry,7.58,0.8230000000000001
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.58,0.8164999999999999
Guatemala,Arabica,Washed / Wet,7.5,0.825
Mexico,Arabica,Washed / Wet,7.75,0.82075
Mexico,Arabica,Washed / Wet,7.67,0.8210000000000001
Mexico,Arabica,Washed / Wet,7.67,0.82075
Colombia,Arabica,Washed / Wet,7.25,0.81875
Mexico,Arabica,Washed / Wet,7.58,0.82075
Colombia,Arabica,Washed / Wet,7.5,0.8230000000000001
Mexico,Arabica,Washed / Wet,7.58,0.8230000000000001
Brazil,Arabica,Natural / Dry,7.5,0.825
Brazil,Arabica,Natural / Dry,7.67,0.8230000000000001
Guatemala,Arabica,Washed / Wet,7.5,0.82925
Brazil,Arabica,Semi-washed / Semi-pulped,7.58,0.825
Brazil,Arabica,,7.42,0.825
El Salvador,Arabica,,7.58,0.8105
Ethiopia,Arabica,,7.92,0.8227499999999999
Colombia,Arabica,Washed / Wet,7.5,0.825
Colombia,Arabica,Washed / Wet,7.17,0.83125
Brazil,Arabica,Pulped natural / honey,7.58,0.82075
Brazil,Arabica,Natural / Dry,7.92,0.81875
Taiwan,Arabica,Natural / Dry,7.75,0.81875
Brazil,Arabica,Natural / Dry,7.5,0.8210000000000001
Brazil,Arabica,Washed / Wet,7.67,0.82075
Costa Rica,Arabica,Washed / Wet,7.5,0.8185
United States (Hawaii),Arabica,Natural / Dry,7.58,0.8227499999999999
Taiwan,Arabica,Other,7.58,0.825
United States (Hawaii),Arabica,Natural / Dry,7.5,0.8352499999999999
Mexico,Arabica,Washed / Wet,7.5,0.8230000000000001
United States (Hawaii),Arabica,Natural / Dry,8.08,0.8125
United States (Hawaii),Arabica,Washed / Wet,7.42,0.8145
Colombia,Arabica,,8.17,0.79775
Colombia,Arabica,,7.58,0.825
Indonesia,Arabica,,7.5,0.8230000000000001
Guatemala,Arabica,,7.75,0.81875
Brazil,Arabica,Natural / Dry,7.5,0.81875
Brazil,Arabica,Natural / Dry,7.58,0.8164999999999999
Brazil,Arabica,Natural / Dry,7.58,0.81875
Uganda,Arabica,Washed / Wet,7.58,0.827
Uganda,Arabica,Natural / Dry,7.67,0.819
Colombia,Arabica,,7.58,0.8210000000000001
Vietnam,Arabica,Other,8.0,0.80425
Guatemala,Arabica,Washed / Wet,7.42,0.8210000000000001
Guatemala,Arabica,Washed / Wet,7.58,0.8230000000000001
Guatemala,Arabica,Washed / Wet,7.33,0.83125
Brazil,Arabica,Natural / Dry,7.58,0.819
Taiwan,Arabica,Washed / Wet,7.17,0.82925
Uganda,Arabica,Washed / Wet,7.5,0.8247500000000001
United States (Puerto Rico),Arabica,Washed / Wet,7.42,0.8230000000000001
Guatemala,Arabica,Washed / Wet,7.42,0.8210000000000001
Costa Rica,Arabica,Washed / Wet,7.67,0.81875
Brazil,Arabica,Semi-washed / Semi-pulped,7.5,0.81875
Colombia,Arabica,Washed / Wet,8.25,0.81875
Colombia,Arabica,Washed / Wet,7.58,0.82075
Colombia,Arabica,Natural / Dry,7.5,0.81875
Colombia,Arabica,Natural / Dry,7.58,0.8227499999999999
Colombia,Arabica,Washed / Wet,7.67,0.81875
Mexico,Arabica,Washed / Wet,7.58,0.8230000000000001
Mexico,Arabica,Semi-washed / Semi-pulped,7.83,0.8102499999999999
Mexico,Arabica,Washed / Wet,7.67,0.81875
Colombia,Arabica,Natural / Dry,7.5,0.825
Colombia,Arabica,Washed / Wet,7.58,0.81225
Colombia,Arabica,Washed / Wet,7.5,0.8230000000000001
Guatemala,Arabica,Washed / Wet,7.33,0.8167500000000001
Colombia,Arabica,Washed / Wet,7.5,0.8252499999999999
Thailand,Arabica,,7.5,0.81875
Colombia,Arabica,,7.58,0.8145
United States (Hawaii),Arabica,,8.08,0.8227499999999999
United States (Hawaii),Arabica,,7.67,0.8164999999999999
Colombia,Arabica,,7.42,0.8164999999999999
Nicaragua,Arabica,,7.92,0.8164999999999999
Thailand,Arabica,,7.42,0.8230000000000001
Brazil,Arabica,Natural / Dry,7.5,0.82075
El Salvador,Arabica,Washed / Wet,7.5,0.8230000000000001
Colombia,Arabica,Washed / Wet,7.58,0.8230000000000001
Taiwan,Arabica,Natural / Dry,7.75,0.8167500000000001
Ethiopia,Arabica,Washed / Wet,7.58,0.8185
Taiwan,Arabica,Natural / Dry,7.58,0.8145
Philippines,Arabica,Washed / Wet,7.5,0.8164999999999999
Philippines,Arabica,Washed / Wet,7.42,0.8227499999999999
Mexico,Arabica,Natural / Dry,7.58,0.825
Mexico,Arabica,Washed / Wet,7.42,0.82925
Brazil,Arabica,Semi-washed / Semi-pulped,7.58,0.8082499999999999
Uganda,Arabica,Washed / Wet,7.58,0.82075
Uganda,Arabica,Washed / Wet,7.5,0.82075
Guatemala,Arabica,Washed / Wet,7.5,0.8230000000000001
Guatemala,Arabica,Natural / Dry,7.67,0.82075
Guatemala,Arabica,Washed / Wet,7.75,0.8185
Colombia,Arabica,Washed / Wet,7.58,0.8164999999999999
Colombia,Arabica,Natural / Dry,7.67,0.825
Guatemala,Arabica,Washed / Wet,7.5,0.827
Colombia,Arabica,Washed / Wet,7.5,0.825
Mexico,Arabica,Natural / Dry,7.83,0.8185
Vietnam,Arabica,Natural / Dry,7.67,0.827
Mexico,Arabica,Washed / Wet,7.75,0.8230000000000001
United States (Hawaii),Arabica,Washed / Wet,7.5,0.8167500000000001
Colombia,Arabica,,7.67,0.8082499999999999
Thailand,Arabica,,7.75,0.8125
Kenya,Arabica,Washed / Wet,7.5,0.82075
Guatemala,Arabica,Washed / Wet,7.58,0.8164999999999999
Brazil,Arabica,Pulped natural / honey,7.58,0.81875
El Salvador,Arabica,Washed / Wet,7.33,0.8082499999999999
Rwanda,Arabica,Washed / Wet,8.0,0.82075
Vietnam,Arabica,Other,7.92,0.8145
Guatemala,Arabica,Washed / Wet,7.5,0.82075
Brazil,Arabica,Natural / Dry,7.67,0.82075
Colombia,Arabica,Washed / Wet,7.08,0.825
United States,Arabica,Other,7.58,0.81875
Guatemala,Arabica,Washed / Wet,7.5,0.819
Colombia,Arabica,Natural / Dry,7.67,0.8125
Colombia,Arabica,Washed / Wet,7.58,0.82075
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.75,0.81875
Mexico,Arabica,Washed / Wet,7.5,0.81875
Mexico,Arabica,Washed / Wet,7.58,0.8167500000000001
Guatemala,Arabica,Washed / Wet,7.42,0.8167500000000001
Mexico,Arabica,Washed / Wet,7.5,0.82075
El Salvador,Arabica,,7.25,0.8145
Guatemala,Arabica,Washed / Wet,7.5,0.8164999999999999
Guatemala,Arabica,Washed / Wet,7.5,0.81875
Guatemala,Arabica,Washed / Wet,7.5,0.8210000000000001
Guatemala,Arabica,Washed / Wet,7.58,0.8167500000000001
Guatemala,Arabica,Washed / Wet,7.67,0.8125
Indonesia,Arabica,Other,7.58,0.8164999999999999
Guatemala,Arabica,Washed / Wet,7.67,0.81225
Taiwan,Arabica,Natural / Dry,7.67,0.8102499999999999
El Salvador,Arabica,Washed / Wet,7.67,0.8230000000000001
Costa Rica,Arabica,Washed / Wet,7.67,0.8125
Honduras,Arabica,Natural / Dry,7.67,0.8145
Brazil,Arabica,Pulped natural / honey,7.5,0.8145
China,Arabica,Natural / Dry,7.58,0.8210000000000001
China,Arabica,Washed / Wet,7.5,0.8167500000000001
Colombia,Arabica,Washed / Wet,7.5,0.8102499999999999
Malawi,Arabica,Washed / Wet,7.67,0.8164999999999999
Guatemala,Arabica,Washed / Wet,7.42,0.8167500000000001
Colombia,Arabica,Washed / Wet,7.67,0.8105
United States (Hawaii),Arabica,Natural / Dry,7.42,0.8145
United States (Hawaii),Arabica,Natural / Dry,7.75,0.8039999999999999
Colombia,Arabica,Washed / Wet,7.5,0.8039999999999999
Mexico,Arabica,Washed / Wet,7.58,0.8164999999999999
Mexico,Arabica,Washed / Wet,7.67,0.8102499999999999
Mexico,Arabica,Natural / Dry,8.08,0.76875
Colombia,Arabica,Washed / Wet,7.5,0.8145
Colombia,Arabica,Washed / Wet,7.42,0.81875
United States (Hawaii),Arabica,Washed / Wet,7.75,0.8
Panama,Arabica,Washed / Wet,7.58,0.8085000000000001
United States (Hawaii),Arabica,,7.42,0.8147500000000001
Brazil,Arabica,Natural / Dry,7.5,0.8164999999999999
Brazil,Arabica,Natural / Dry,7.5,0.8145
Laos,Arabica,Washed / Wet,7.58,0.819
El Salvador,Arabica,Washed / Wet,7.5,0.8210000000000001
Mexico,Arabica,,7.75,0.8147500000000001
Colombia,Arabica,Washed / Wet,7.42,0.8145
Brazil,Arabica,Natural / Dry,7.5,0.8145
Brazil,Arabica,Natural / Dry,7.5,0.8125
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.58,0.8125
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.58,0.8102499999999999
Taiwan,Arabica,Washed / Wet,7.08,0.827
Mexico,Arabica,Natural / Dry,7.58,0.8167500000000001
Uganda,Arabica,Washed / Wet,7.5,0.8167500000000001
Taiwan,Arabica,Washed / Wet,7.5,0.8167500000000001
Thailand,Arabica,Washed / Wet,7.5,0.8125
Colombia,Arabica,Washed / Wet,7.42,0.8227499999999999
El Salvador,Arabica,Washed / Wet,7.67,0.8460000000000001
Guatemala,Arabica,Washed / Wet,7.5,0.8210000000000001
Thailand,Arabica,Washed / Wet,7.58,0.8185
Mexico,Arabica,Washed / Wet,7.58,0.8145
Mexico,Arabica,Washed / Wet,7.58,0.8125
Colombia,Arabica,,7.58,0.8145
United States (Hawaii),Arabica,,7.58,0.825
Mexico,Arabica,,7.08,0.825
Colombia,Arabica,,7.42,0.827
Colombia,Arabica,,7.58,0.8147500000000001
Guatemala,Arabica,Washed / Wet,7.5,0.8105
Taiwan,Arabica,Pulped natural / honey,7.5,0.8167500000000001
Brazil,Arabica,Pulped natural / honey,7.5,0.82075
Taiwan,Arabica,,10.0,0.7875
Brazil,Arabica,,8.0,0.8022500000000001
Indonesia,Arabica,Semi-washed / Semi-pulped,7.5,0.82075
Thailand,Arabica,Washed / Wet,7.5,0.8125
Thailand,Arabica,Washed / Wet,7.5,0.8145
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.5,0.81875
Uganda,Arabica,Natural / Dry,7.42,0.81875
Costa Rica,Arabica,Washed / Wet,7.58,0.8022500000000001
Mexico,Arabica,Washed / Wet,7.58,0.8039999999999999
Guatemala,Arabica,Natural / Dry,7.5,0.8125
Colombia,Arabica,Washed / Wet,7.5,0.8125
Colombia,Arabica,Washed / Wet,7.42,0.8145
Colombia,Arabica,Washed / Wet,7.42,0.81875
Mexico,Arabica,Washed / Wet,7.58,0.8125
Mexico,Arabica,Washed / Wet,7.5,0.8230000000000001
Colombia,Arabica,Washed / Wet,7.67,0.8105
Brazil,Arabica,,7.42,0.8145
Brazil,Arabica,Natural / Dry,7.42,0.8145
Indonesia,Arabica,Washed / Wet,7.42,0.825
Honduras,Arabica,Washed / Wet,7.5,0.8164999999999999
Guatemala,Arabica,Washed / Wet,7.5,0.8167500000000001
Thailand,Arabica,Washed / Wet,7.83,0.7997500000000001
Thailand,Arabica,Washed / Wet,7.5,0.8125
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.5,0.8147500000000001
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.58,0.8082499999999999
Mexico,Arabica,Washed / Wet,7.58,0.80625
Brazil,Arabica,Semi-washed / Semi-pulped,7.5,0.8085000000000001
Guatemala,Arabica,Washed / Wet,7.33,0.8167500000000001
Colombia,Arabica,Washed / Wet,7.5,0.8145
Guatemala,Arabica,Washed / Wet,7.33,0.825
Mexico,Arabica,Washed / Wet,7.58,0.8125
Mexico,Arabica,Washed / Wet,7.5,0.8167500000000001
Mexico,Arabica,Semi-washed / Semi-pulped,7.5,0.8167500000000001
Guatemala,Arabica,Natural / Dry,7.5,0.8125
Brazil,Arabica,Semi-washed / Semi-pulped,7.42,0.8147500000000001
Colombia,Arabica,Washed / Wet,7.58,0.8105
United States (Hawaii),Arabica,Washed / Wet,7.58,0.80425
Guatemala,Arabica,,7.33,0.806
Honduras,Arabica,Washed / Wet,7.5,0.8167500000000001
Guatemala,Arabica,Washed / Wet,7.42,0.8102499999999999
Guatemala,Arabica,Washed / Wet,7.5,0.8167500000000001
Guatemala,Arabica,Washed / Wet,7.42,0.8145
Guatemala,Arabica,Washed / Wet,7.5,0.8147500000000001
Colombia,Arabica,Washed / Wet,8.08,0.7665
China,Arabica,Washed / Wet,7.58,0.81275
Brazil,Arabica,,8.0,0.80425
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.58,0.8147500000000001
Brazil,Arabica,Natural / Dry,7.42,0.81875
Guatemala,Arabica,Washed / Wet,7.33,0.8105
Mexico,Arabica,Washed / Wet,7.58,0.8085000000000001
Brazil,Arabica,Semi-washed / Semi-pulped,7.42,0.81875
Peru,Arabica,Washed / Wet,7.5,0.7997500000000001
Brazil,Arabica,Natural / Dry,8.17,0.8
Mexico,Arabica,Washed / Wet,7.5,0.79575
Honduras,Arabica,Washed / Wet,7.67,0.8167500000000001
Colombia,Arabica,Washed / Wet,7.42,0.8167500000000001
Mexico,Arabica,Washed / Wet,7.42,0.8085000000000001
Mexico,Arabica,Semi-washed / Semi-pulped,7.42,0.8145
Mexico,Arabica,Washed / Wet,7.5,0.8125
Mexico,Arabica,Washed / Wet,7.58,0.8164999999999999
Mexico,Arabica,Washed / Wet,7.5,0.8145
Mexico,Arabica,Washed / Wet,7.58,0.8164999999999999
Mexico,Arabica,Washed / Wet,7.58,0.8102499999999999
Mexico,Arabica,Washed / Wet,7.5,0.82075
Mexico,Arabica,Washed / Wet,7.5,0.8125
Colombia,Arabica,Natural / Dry,7.58,0.8125
Brazil,Arabica,Natural / Dry,7.42,0.81875
Colombia,Arabica,Washed / Wet,7.75,0.8082499999999999
Colombia,Arabica,,7.5,0.8102499999999999
Honduras,Arabica,Washed / Wet,7.58,0.8125
Brazil,Arabica,Natural / Dry,7.67,0.8082499999999999
Brazil,Arabica,Natural / Dry,7.5,0.8085000000000001
Brazil,Arabica,Natural / Dry,7.5,0.8105
Costa Rica,Arabica,Washed / Wet,7.5,0.8167500000000001
Costa Rica,Arabica,Washed / Wet,7.33,0.8102499999999999
China,Arabica,Pulped natural / honey,7.5,0.8125
Brazil,Arabica,Natural / Dry,7.75,0.85625
Brazil,Arabica,Natural / Dry,7.42,0.8105
Guatemala,Arabica,Washed / Wet,7.42,0.8105
Malawi,Arabica,Washed / Wet,7.58,0.806
Brazil,Arabica,Natural / Dry,8.0,0.8477499999999999
Guatemala,Arabica,Washed / Wet,7.42,0.8082499999999999
Mexico,Arabica,Washed / Wet,7.5,0.8102499999999999
Colombia,Arabica,Washed / Wet,7.5,0.79575
Taiwan,Arabica,Semi-washed / Semi-pulped,7.33,0.8125
Taiwan,Arabica,Washed / Wet,7.33,0.8125
Guatemala,Arabica,Washed / Wet,7.25,0.8105
Colombia,Arabica,Washed / Wet,7.33,0.8105
Mexico,Arabica,Washed / Wet,7.42,0.8147500000000001
Costa Rica,Arabica,Washed / Wet,7.67,0.81875
Guatemala,Arabica,Washed / Wet,7.33,0.8167500000000001
Mexico,Arabica,Natural / Dry,7.58,0.80625
Mexico,Arabica,Washed / Wet,7.0,0.81875
Guatemala,Arabica,Washed / Wet,7.5,0.8125
Brazil,Arabica,Natural / Dry,7.42,0.8145
Mexico,Arabica,Washed / Wet,7.83,0.8039999999999999
Brazil,Arabica,Washed / Wet,7.42,0.8145
Colombia,Arabica,Natural / Dry,7.33,0.8247500000000001
Brazil,Arabica,Washed / Wet,7.5,0.81875
Taiwan,Arabica,,10.0,0.7769999999999999
Guatemala,Arabica,Washed / Wet,7.33,0.8147500000000001
Brazil,Arabica,Natural / Dry,7.67,0.8147500000000001
El Salvador,Arabica,Washed / Wet,7.58,0.8102499999999999
Honduras,Arabica,Washed / Wet,7.33,0.8125
Malawi,Arabica,Washed / Wet,7.42,0.8145
Brazil,Arabica,Natural / Dry,7.42,0.8164999999999999
Taiwan,Arabica,Washed / Wet,7.25,0.8125
Mexico,Arabica,Washed / Wet,7.42,0.8145
United States (Hawaii),Arabica,Natural / Dry,7.42,0.80625
Mexico,Arabica,Washed / Wet,7.58,0.8145
Guatemala,Arabica,Washed / Wet,7.33,0.8167500000000001
Mexico,Arabica,Washed / Wet,7.33,0.8102499999999999
Mexico,Arabica,Washed / Wet,7.33,0.8167500000000001
El Salvador,Arabica,Washed / Wet,7.33,0.8145
Mexico,Arabica,Washed / Wet,7.42,0.806
Mexico,Arabica,Washed / Wet,7.42,0.8085000000000001
Colombia,Arabica,Washed / Wet,7.42,0.8125
Colombia,Arabica,Washed / Wet,7.58,0.8125
Brazil,Arabica,Natural / Dry,7.5,0.81875
Colombia,Arabica,,7.75,0.8
Brazil,Arabica,Natural / Dry,7.5,0.8065
Honduras,Arabica,Washed / Wet,7.58,0.8125
Nicaragua,Arabica,,7.5,0.8125
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.5,0.8125
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.58,0.8085000000000001
Brazil,Arabica,Natural / Dry,7.58,0.8082499999999999
Thailand,Arabica,Washed / Wet,7.5,0.8022500000000001
Honduras,Arabica,Washed / Wet,7.33,0.81875
Guatemala,Arabica,Washed / Wet,7.42,0.8065
Brazil,Arabica,Natural / Dry,7.5,0.8145
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.25,0.8125
Mexico,Arabica,Washed / Wet,7.33,0.8019999999999999
Mexico,Arabica,Washed / Wet,7.5,0.8125
Taiwan,Arabica,Other,7.17,0.8125
Taiwan,Arabica,Washed / Wet,7.58,0.8085000000000001
Colombia,Arabica,Washed / Wet,7.5,0.8082499999999999
Mexico,Arabica,Washed / Wet,7.67,0.8125
Guatemala,Arabica,Washed / Wet,7.17,0.82925
Mexico,Arabica,Washed / Wet,7.5,0.8145
Mexico,Arabica,Washed / Wet,7.58,0.8022500000000001
Colombia,Arabica,,7.42,0.8105
Indonesia,Arabica,Washed / Wet,7.33,0.8125
Colombia,Arabica,Washed / Wet,7.58,0.81225
Brazil,Arabica,Natural / Dry,7.5,0.8105
Brazil,Arabica,Natural / Dry,7.25,0.79375
Costa Rica,Arabica,Washed / Wet,7.67,0.8085000000000001
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.42,0.80625
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.5,0.80625
Colombia,Arabica,Washed / Wet,7.25,0.8147500000000001
Costa Rica,Arabica,Washed / Wet,7.33,0.8102499999999999
United States (Hawaii),Arabica,Natural / Dry,7.5,0.8082499999999999
Mexico,Arabica,Washed / Wet,7.42,0.8105
Mexico,Arabica,Washed / Wet,7.5,0.80425
Mexico,Arabica,Washed / Wet,7.33,0.8147500000000001
Vietnam,Arabica,Natural / Dry,7.42,0.8335000000000001
Mexico,Arabica,Washed / Wet,7.33,0.8082499999999999
United States (Hawaii),Arabica,Washed / Wet,7.42,0.79775
Colombia,Arabica,,7.17,0.8085000000000001
Honduras,Arabica,Washed / Wet,7.42,0.8125
Honduras,Arabica,Natural / Dry,7.5,0.8105
Brazil,Arabica,Natural / Dry,7.5,0.8039999999999999
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.42,0.8105
Laos,Arabica,Washed / Wet,7.5,0.8105
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.5,0.80425
Malawi,Arabica,Washed / Wet,7.33,0.80625
Taiwan,Arabica,Washed / Wet,7.75,0.8082499999999999
Thailand,Arabica,Washed / Wet,7.33,0.8102499999999999
Costa Rica,Arabica,Washed / Wet,7.33,0.8125
Honduras,Arabica,Washed / Wet,7.17,0.8039999999999999
Colombia,Arabica,Washed / Wet,7.17,0.8039999999999999
Taiwan,Arabica,Washed / Wet,7.42,0.8082499999999999
Brazil,Arabica,Natural / Dry,7.67,0.8082499999999999
Mexico,Arabica,Washed / Wet,7.42,0.8105
Brazil,Arabica,Natural / Dry,7.42,0.80625
Brazil,Arabica,Semi-washed / Semi-pulped,7.42,0.8105
Guatemala,Arabica,Natural / Dry,7.17,0.8082499999999999
Brazil,Arabica,Semi-washed / Semi-pulped,7.33,0.8145
Guatemala,Arabica,Washed / Wet,7.42,0.82075
Colombia,Arabica,,8.0,0.79575
Guatemala,Arabica,Washed / Wet,7.58,0.7997500000000001
Guatemala,Arabica,Washed / Wet,7.42,0.8105
Honduras,Arabica,Washed / Wet,7.33,0.8125
Brazil,Arabica,Natural / Dry,7.5,0.80625
El Salvador,Arabica,Washed / Wet,7.33,0.81875
Guatemala,Arabica,Washed / Wet,7.25,0.8082499999999999
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.42,0.8039999999999999
Nicaragua,Arabica,Washed / Wet,7.33,0.8125
Zambia,Arabica,Washed / Wet,7.25,0.8125
Honduras,Arabica,Washed / Wet,7.42,0.8019999999999999
Taiwan,Arabica,Other,7.25,0.8125
Mexico,Arabica,Washed / Wet,7.25,0.8145
Mexico,Arabica,Semi-washed / Semi-pulped,7.42,0.8125
Mexico,Arabica,Washed / Wet,7.58,0.80625
Mexico,Arabica,Washed / Wet,7.5,0.8082499999999999
Mexico,Arabica,Washed / Wet,7.33,0.798
Brazil,Arabica,Natural / Dry,7.33,0.8082499999999999
Colombia,Arabica,,7.33,0.8082499999999999
Guatemala,Arabica,Washed / Wet,7.42,0.80625
Costa Rica,Arabica,Pulped natural / honey,7.33,0.80625
Brazil,Arabica,Natural / Dry,7.33,0.8085000000000001
Indonesia,Arabica,Other,5.17,0.8375
Guatemala,Arabica,Washed / Wet,7.17,0.8164999999999999
Brazil,Arabica,Natural / Dry,7.75,0.8125
Brazil,Arabica,Natural / Dry,8.25,0.80625
Myanmar,Arabica,Washed / Wet,7.33,0.806
Mexico,Arabica,Washed / Wet,7.42,0.80625
Honduras,Arabica,Washed / Wet,7.33,0.8105
Costa Rica,Arabica,Washed / Wet,7.42,0.80625
Taiwan,Arabica,Washed / Wet,7.33,0.81875
Indonesia,Arabica,Other,7.42,0.8065
Malawi,Arabica,Washed / Wet,7.42,0.8082499999999999
Brazil,Arabica,Natural / Dry,7.33,0.8185
Honduras,Arabica,Natural / Dry,7.5,0.8082499999999999
Mexico,Arabica,Washed / Wet,7.5,0.80425
Colombia,Arabica,Washed / Wet,7.33,0.8125
United States (Hawaii),Arabica,Natural / Dry,8.0,0.83725
Brazil,Arabica,Semi-washed / Semi-pulped,7.83,0.8164999999999999
Guatemala,Arabica,Washed / Wet,7.5,0.8125
Mexico,Arabica,Washed / Wet,7.25,0.8102499999999999
Mexico,Arabica,Semi-washed / Semi-pulped,7.42,0.8039999999999999
Brazil,Arabica,,7.33,0.8125
Colombia,Arabica,,7.33,0.8102499999999999
United States (Hawaii),Arabica,,7.33,0.79775
Guatemala,Arabica,Washed / Wet,7.33,0.8105
Vietnam,Arabica,Washed / Wet,8.0,0.7895
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.42,0.80425
Brazil,Arabica,Natural / Dry,7.25,0.796
Mexico,Arabica,Washed / Wet,7.5,0.80625
Mexico,Arabica,Washed / Wet,7.25,0.80625
Mexico,Arabica,Washed / Wet,7.25,0.80625
Mexico,Arabica,Washed / Wet,7.33,0.80425
Mexico,Arabica,Washed / Wet,7.33,0.8147500000000001
Colombia,Arabica,Washed / Wet,7.17,0.80625
Colombia,Arabica,,7.5,0.80625
Brazil,Arabica,Natural / Dry,7.25,0.8105
Guatemala,Arabica,Washed / Wet,7.58,0.80425
Guatemala,Arabica,Washed / Wet,7.33,0.8019999999999999
Honduras,Arabica,Washed / Wet,7.25,0.8125
"Tanzania, United Republic Of",Arabica,,7.58,0.8
Nicaragua,Arabica,,7.33,0.8145
Colombia,Arabica,,7.67,0.76875
Brazil,Arabica,Natural / Dry,7.25,0.8125
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.33,0.80625
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.5,0.8019999999999999
Brazil,Arabica,Washed / Wet,7.33,0.80425
Indonesia,Arabica,Semi-washed / Semi-pulped,7.58,0.798
