country_of_origin,species,processing_method,cupper_points,YumScore
Honduras,Arabica,Natural / Dry,7.5,0.8
Costa Rica,Arabica,Washed / Wet,8.08,0.80425
Mexico,Arabica,Washed / Wet,7.42,0.79375
Taiwan,Arabica,Semi-washed / Semi-pulped,7.25,0.8105
Taiwan,Arabica,Washed / Wet,7.25,0.8082499999999999
Mexico,Arabica,Washed / Wet,7.42,0.80625
Guatemala,Arabica,Washed / Wet,7.17,0.8125
Mexico,Arabica,Washed / Wet,7.58,0.7815
Mexico,Arabica,Washed / Wet,7.08,0.8105
Mexico,Arabica,Washed / Wet,7.17,0.8085000000000001
Mexico,Arabica,Washed / Wet,7.42,0.80625
Mexico,Arabica,Semi-washed / Semi-pulped,7.67,0.806
United States (Hawaii),Arabica,Washed / Wet,7.25,0.798
Honduras,Arabica,Washed / Wet,7.33,0.8105
Guatemala,Arabica,Washed / Wet,7.42,0.8065
Taiwan,Arabica,Washed / Wet,7.25,0.80425
Costa Rica,Arabica,Washed / Wet,7.25,0.8019999999999999
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.25,0.8065
Malawi,Arabica,Washed / Wet,7.33,0.80425
Taiwan,Arabica,Semi-washed / Semi-pulped,7.0,0.82075
Brazil,Arabica,Washed / Wet,7.33,0.8085000000000001
Guatemala,Arabica,Washed / Wet,7.17,0.80425
Mexico,Arabica,Washed / Wet,7.33,0.798
Mexico,Arabica,Natural / Dry,7.33,0.8082499999999999
Mexico,Arabica,Natural / Dry,7.67,0.82075
Thailand,Arabica,,7.33,0.7895
Thailand,Arabica,,7.33,0.806
Costa Rica,Arabica,,7.25,0.798
Guatemala,Arabica,Washed / Wet,7.58,0.79775
Nicaragua,Arabica,Other,7.33,0.80425
Honduras,Arabica,Washed / Wet,7.33,0.80425
Guatemala,Arabica,,7.33,0.8105
Taiwan,Arabica,Natural / Dry,7.33,0.8125
Myanmar,Arabica,Washed / Wet,7.42,0.8
Costa Rica,Arabica,Washed / Wet,7.33,0.81225
Malawi,Arabica,Washed / Wet,7.33,0.8147500000000001
Guatemala,Arabica,Washed / Wet,7.17,0.80425
Taiwan,Arabica,Washed / Wet,7.5,0.80425
Brazil,Arabica,Semi-washed / Semi-pulped,7.75,0.8019999999999999
Haiti,Arabica,Washed / Wet,7.33,0.80425
Taiwan,Arabica,Other,7.42,0.80625
Mexico,Arabica,Washed / Wet,7.25,0.8039999999999999
Mexico,Arabica,Washed / Wet,7.17,0.8082499999999999
Mexico,Arabica,Washed / Wet,7.08,0.796
Mexico,Arabica,Semi-washed / Semi-pulped,7.25,0.8039999999999999
Mexico,Arabica,Washed / Wet,7.5,0.8022500000000001
Mexico,Arabica,Natural / Dry,7.42,0.79375
Indonesia,Arabica,Washed / Wet,7.17,0.8125
Brazil,Arabica,Semi-washed / Semi-pulped,7.17,0.8105
Guatemala,Arabica,Washed / Wet,7.42,0.8
Colombia,Arabica,,7.33,0.8065
United States (Hawaii),Arabica,,7.33,0.78725
Mexico,Arabica,Washed / Wet,7.25,0.8102499999999999
Guatemala,Arabica,Washed / Wet,7.42,0.8019999999999999
Brazil,Arabica,Natural / Dry,7.5,0.7915
Honduras,Arabica,Washed / Wet,7.25,0.8082499999999999
Taiwan,Arabica,Washed / Wet,7.08,0.8164999999999999
Malawi,Arabica,Washed / Wet,7.42,0.79575
Brazil,Arabica,Natural / Dry,7.42,0.8019999999999999
Guatemala,Arabica,Washed / Wet,7.08,0.8085000000000001
Mexico,Arabica,Washed / Wet,7.33,0.80625
Peru,Arabica,Washed / Wet,7.25,0.8065
Guatemala,Arabica,Washed / Wet,7.08,0.80425
Mexico,Arabica,Washed / Wet,7.58,0.8
Mexico,Arabica,Washed / Wet,7.25,0.8085000000000001
Colombia,Arabica,Natural / Dry,7.17,0.8022500000000001
Colombia,Arabica,,7.33,0.8102499999999999
United States (Hawaii),Arabica,,6.92,0.8102499999999999
Colombia,Arabica,Washed / Wet,7.25,0.8039999999999999
Honduras,Arabica,Washed / Wet,7.33,0.8125
Mexico,Arabica,,7.17,0.8167500000000001
Brazil,Arabica,Natural / Dry,7.33,0.79775
Honduras,Arabica,Washed / Wet,7.42,0.80425
Brazil,Arabica,Other,7.42,0.798
Philippines,Arabica,Washed / Wet,7.33,0.7935000000000001
Malawi,Arabica,Washed / Wet,7.25,0.8102499999999999
Honduras,Arabica,Washed / Wet,7.33,0.8039999999999999
Mexico,Arabica,Washed / Wet,7.25,0.80625
Mexico,Arabica,Washed / Wet,7.25,0.8039999999999999
Brazil,Arabica,Natural / Dry,7.58,0.8039999999999999
Taiwan,Arabica,Natural / Dry,5.25,0.8185
Brazil,Arabica,Natural / Dry,7.33,0.78775
Nicaragua,Arabica,Washed / Wet,7.5,0.8
Honduras,Arabica,Washed / Wet,7.42,0.798
Guatemala,Arabica,Washed / Wet,7.33,0.80425
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.42,0.79375
Taiwan,Arabica,Semi-washed / Semi-pulped,7.25,0.80625
Guatemala,Arabica,Washed / Wet,7.08,0.79575
Mexico,Arabica,Washed / Wet,7.5,0.7917500000000001
Nicaragua,Arabica,Washed / Wet,7.25,0.8102499999999999
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.17,0.8085000000000001
Mexico,Arabica,Washed / Wet,7.17,0.8102499999999999
Costa Rica,Arabica,Washed / Wet,7.42,0.8019999999999999
Honduras,Arabica,Natural / Dry,7.33,0.8019999999999999
Thailand,Arabica,Washed / Wet,7.42,0.79375
Philippines,Arabica,Natural / Dry,7.25,0.8019999999999999
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.33,0.8019999999999999
Malawi,Arabica,Washed / Wet,7.25,0.8039999999999999
Costa Rica,Arabica,Washed / Wet,7.25,0.7935000000000001
Brazil,Arabica,Natural / Dry,7.17,0.80425
Mexico,Arabica,Natural / Dry,7.08,0.8022500000000001
Guatemala,Arabica,Washed / Wet,7.25,0.798
Brazil,Arabica,Natural / Dry,7.08,0.80625
United States (Hawaii),Arabica,,7.75,0.7772500000000001
Ethiopia,Arabica,Natural / Dry,7.25,0.80425
Brazil,Arabica,Natural / Dry,7.33,0.8019999999999999
Nicaragua,Arabica,Washed / Wet,7.0,0.7997500000000001
United States,Arabica,Natural / Dry,7.17,0.796
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.17,0.8
Costa Rica,Arabica,Washed / Wet,7.17,0.798
United States (Puerto Rico),Arabica,Washed / Wet,8.5,0.74175
Mexico,Arabica,Washed / Wet,7.25,0.796
Mexico,Arabica,Washed / Wet,7.08,0.79575
Mexico,Arabica,Washed / Wet,7.25,0.79775
Mexico,Arabica,Washed / Wet,7.25,0.798
United States (Hawaii),Arabica,Washed / Wet,7.33,0.7939999999999999
Brazil,Arabica,Pulped natural / honey,7.33,0.79575
El Salvador,Arabica,Washed / Wet,7.25,0.79375
Brazil,Arabica,Pulped natural / honey,7.17,0.79575
Guatemala,Arabica,Washed / Wet,7.25,0.798
Colombia,Arabica,Washed / Wet,7.75,0.8210000000000001
Guatemala,Arabica,Washed / Wet,7.25,0.80625
Taiwan,Arabica,Washed / Wet,7.33,0.798
Honduras,Arabica,Natural / Dry,7.33,0.798
Brazil,Arabica,Natural / Dry,7.75,0.83125
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.33,0.79575
Uganda,Arabica,Natural / Dry,7.42,0.7917500000000001
Taiwan,Arabica,Semi-washed / Semi-pulped,7.25,0.79375
Thailand,Arabica,Washed / Wet,7.17,0.8
Mexico,Arabica,Washed / Wet,7.25,0.79575
Mexico,Arabica,Washed / Wet,7.5,0.7707499999999999
Taiwan,Arabica,Washed / Wet,7.25,0.79575
Guatemala,Arabica,Washed / Wet,7.5,0.8084999999999999
Kenya,Arabica,Washed / Wet,5.42,0.81875
Mexico,Arabica,Washed / Wet,7.33,0.7914999999999999
Myanmar,Arabica,Other,7.42,0.798
United States (Hawaii),Arabica,Natural / Dry,7.25,0.8019999999999999
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.25,0.798
Brazil,Arabica,Natural / Dry,7.25,0.79575
Taiwan,Arabica,Washed / Wet,6.75,0.8167500000000001
Brazil,Arabica,Natural / Dry,7.33,0.796
Nicaragua,Arabica,Washed / Wet,7.33,0.79775
Guatemala,Arabica,Washed / Wet,7.08,0.80625
Taiwan,Arabica,Washed / Wet,7.25,0.798
Taiwan,Arabica,Other,7.17,0.7875
Taiwan,Arabica,Washed / Wet,7.25,0.798
Mexico,Arabica,Washed / Wet,7.0,0.8019999999999999
Thailand,Arabica,,6.83,0.8105
Laos,Arabica,Washed / Wet,7.33,0.798
Guatemala,Arabica,Washed / Wet,7.08,0.8022500000000001
Mexico,Arabica,Semi-washed / Semi-pulped,7.33,0.7875
Mexico,Arabica,Washed / Wet,7.17,0.79575
Mexico,Arabica,Washed / Wet,7.25,0.796
United States (Hawaii),Arabica,Washed / Wet,7.0,0.8019999999999999
Colombia,Arabica,,7.33,0.7997500000000001
Brazil,Arabica,Natural / Dry,7.25,0.7917500000000001
Myanmar,Arabica,Washed / Wet,7.17,0.798
Guatemala,Arabica,Washed / Wet,7.17,0.8
Nicaragua,Arabica,Washed / Wet,7.25,0.79575
Honduras,Arabica,Natural / Dry,7.08,0.8019999999999999
Panama,Arabica,Other,7.17,0.79775
Honduras,Arabica,Washed / Wet,7.17,0.796
Honduras,Arabica,Natural / Dry,7.0,0.79575
Costa Rica,Arabica,Washed / Wet,7.25,0.79575
Mexico,Arabica,Washed / Wet,7.5,0.7935000000000001
Haiti,Arabica,Washed / Wet,7.25,0.7875
United States (Hawaii),Arabica,Natural / Dry,6.92,0.7935000000000001
Taiwan,Arabica,Other,7.33,0.79575
Indonesia,Arabica,Semi-washed / Semi-pulped,7.33,0.79575
Guatemala,Arabica,Washed / Wet,7.0,0.81275
Costa Rica,Arabica,Washed / Wet,8.0,0.7457499999999999
Malawi,Arabica,Washed / Wet,7.17,0.8
Mexico,Arabica,Washed / Wet,7.25,0.78975
Colombia,Arabica,Natural / Dry,8.5,0.8167500000000001
Guatemala,Arabica,Washed / Wet,7.33,0.796
Guatemala,Arabica,Washed / Wet,7.17,0.78325
Guatemala,Arabica,Washed / Wet,7.33,0.7917500000000001
Colombia,Arabica,,7.25,0.7875
Brazil,Arabica,,7.42,0.78725
Nicaragua,Arabica,,7.33,0.8
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.25,0.7915
Brazil,Arabica,Semi-washed / Semi-pulped,7.25,0.79375
Honduras,Arabica,Washed / Wet,7.17,0.8
Guatemala,Arabica,Natural / Dry,7.25,0.7939999999999999
United States (Hawaii),Arabica,,7.83,0.7875
Colombia,Arabica,,7.33,0.78525
Taiwan,Arabica,Natural / Dry,7.17,0.78775
Guatemala,Arabica,Washed / Wet,7.25,0.79575
Honduras,Arabica,Washed / Wet,7.0,0.806
Mauritius,Arabica,,7.25,0.79375
Brazil,Arabica,Semi-washed / Semi-pulped,7.33,0.781
Myanmar,Arabica,Washed / Wet,7.08,0.79375
Guatemala,Arabica,Washed / Wet,7.17,0.796
Brazil,Arabica,Semi-washed / Semi-pulped,7.42,0.7959999999999999
United States (Hawaii),Arabica,Natural / Dry,7.17,0.775
Guatemala,Arabica,Washed / Wet,6.67,0.80425
Mexico,Arabica,Washed / Wet,7.17,0.79375
Honduras,Arabica,,7.0,0.8
Taiwan,Arabica,Washed / Wet,7.0,0.798
El Salvador,Arabica,Washed / Wet,7.25,0.79575
China,Arabica,Washed / Wet,7.17,0.7915
Taiwan,Arabica,Washed / Wet,7.0,0.79375
Mexico,Arabica,Washed / Wet,7.25,0.7855000000000001
Mexico,Arabica,Washed / Wet,7.08,0.79375
Burundi,Arabica,,7.33,0.78525
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.17,0.796
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.08,0.7917500000000001
Taiwan,Arabica,Other,7.0,0.79375
Guatemala,Arabica,Washed / Wet,7.17,0.7915
Mexico,Arabica,Semi-washed / Semi-pulped,7.08,0.7915
United States (Hawaii),Arabica,Washed / Wet,7.08,0.7917500000000001
Ethiopia,Arabica,,7.08,0.78325
Brazil,Arabica,Natural / Dry,7.25,0.7875
Honduras,Arabica,Natural / Dry,7.33,0.798
Mexico,Arabica,Washed / Wet,7.17,0.79375
Myanmar,Arabica,Natural / Dry,6.83,0.8039999999999999
Myanmar,Arabica,Natural / Dry,7.25,0.78975
Nicaragua,Arabica,Washed / Wet,7.25,0.7875
United States (Hawaii),Arabica,Natural / Dry,7.33,0.78325
Colombia,Arabica,Washed / Wet,7.58,0.80425
Taiwan,Arabica,Semi-washed / Semi-pulped,7.0,0.7875
Guatemala,Arabica,Washed / Wet,7.25,0.77925
Mexico,Arabica,Washed / Wet,7.17,0.7915
Vietnam,Arabica,Other,7.25,0.7689999999999999
Nicaragua,Arabica,Washed / Wet,7.17,0.7875
Honduras,Arabica,Washed / Wet,7.33,0.7895
Guatemala,Arabica,Washed / Wet,7.0,0.79575
Mexico,Arabica,Washed / Wet,7.08,0.7915
Mexico,Arabica,Washed / Wet,7.42,0.76875
Mexico,Arabica,Washed / Wet,7.0,0.79775
Guatemala,Arabica,Washed / Wet,7.17,0.7915
United States (Hawaii),Arabica,,7.42,0.8019999999999999
Brazil,Arabica,Pulped natural / honey,7.08,0.78975
Taiwan,Arabica,Washed / Wet,7.0,0.7917500000000001
Nicaragua,Arabica,Natural / Dry,7.08,0.78975
Taiwan,Arabica,Other,7.0,0.7895
Taiwan,Arabica,Washed / Wet,7.0,0.79375
Taiwan,Arabica,Semi-washed / Semi-pulped,7.0,0.7917500000000001
Mexico,Arabica,Washed / Wet,7.08,0.7895
Mexico,Arabica,Washed / Wet,7.08,0.7915
Nicaragua,Arabica,Washed / Wet,7.0,0.79575
Myanmar,Arabica,Washed / Wet,6.92,0.7917500000000001
Mexico,Arabica,Washed / Wet,7.42,0.7875
Taiwan,Arabica,Washed / Wet,7.0,0.79375
Thailand,Arabica,Washed / Wet,7.0,0.7855000000000001
Mexico,Arabica,Washed / Wet,7.25,0.7789999999999999
Mexico,Arabica,Washed / Wet,7.17,0.78725
Ethiopia,Arabica,,7.75,0.7815
Colombia,Arabica,Washed / Wet,7.42,0.75
United States (Hawaii),Arabica,Natural / Dry,7.0,0.79575
Mexico,Arabica,Washed / Wet,7.17,0.7789999999999999
Mexico,Arabica,Washed / Wet,7.0,0.7917500000000001
Mexico,Arabica,Washed / Wet,6.75,0.798
Mexico,Arabica,Washed / Wet,7.33,0.7769999999999999
Mexico,Arabica,Natural / Dry,7.25,0.7769999999999999
Mexico,Arabica,Washed / Wet,7.0,0.79575
United States (Hawaii),Arabica,,7.58,0.7772500000000001
Kenya,Arabica,Washed / Wet,7.08,0.78325
Guatemala,Arabica,Washed / Wet,7.08,0.7789999999999999
Nicaragua,Arabica,Washed / Wet,7.17,0.7875
Mexico,Arabica,Washed / Wet,6.83,0.79375
United States (Hawaii),Arabica,Natural / Dry,7.17,0.78725
Guatemala,Arabica,Washed / Wet,7.25,0.7895
Taiwan,Arabica,Natural / Dry,7.33,0.8019999999999999
Taiwan,Arabica,Washed / Wet,7.0,0.78325
Thailand,Arabica,Washed / Wet,7.0,0.78525
Peru,Arabica,Washed / Wet,7.17,0.7727499999999999
Costa Rica,Arabica,Washed / Wet,8.0,0.76875
Mexico,Arabica,Washed / Wet,6.67,0.8039999999999999
Mexico,Arabica,Washed / Wet,6.83,0.8039999999999999
Mexico,Arabica,Washed / Wet,7.0,0.7875
Mexico,Arabica,Washed / Wet,6.92,0.78975
Mexico,Arabica,Washed / Wet,7.0,0.7915
Guatemala,Arabica,Washed / Wet,7.67,0.781
Mexico,Arabica,Washed / Wet,7.33,0.78325
Guatemala,Arabica,Washed / Wet,7.25,0.78975
El Salvador,Arabica,Washed / Wet,7.0,0.7915
Thailand,Arabica,Washed / Wet,7.08,0.7815
Guatemala,Arabica,Washed / Wet,7.0,0.7895
Mexico,Arabica,Washed / Wet,6.83,0.796
Mexico,Arabica,Washed / Wet,7.33,0.7895
Mexico,Arabica,Washed / Wet,7.08,0.77925
Thailand,Arabica,,7.17,0.78975
Mexico,Arabica,Washed / Wet,6.92,0.78325
Mexico,Arabica,Washed / Wet,6.92,0.7855000000000001
Colombia,Arabica,,6.92,0.78975
Guatemala,Arabica,,7.08,0.78325
Nicaragua,Arabica,Natural / Dry,7.0,0.77725
Taiwan,Arabica,Natural / Dry,7.0,0.7835
Colombia,Arabica,Washed / Wet,7.5,0.825
Mexico,Arabica,Washed / Wet,7.0,0.781
Mexico,Arabica,Washed / Wet,7.0,0.7769999999999999
Guatemala,Arabica,Washed / Wet,7.42,0.77675
Guatemala,Arabica,Washed / Wet,6.83,0.7895
Mexico,Arabica,Washed / Wet,6.83,0.779
Cote d?Ivoire,Arabica,Washed / Wet,7.08,0.78325
Colombia,Arabica,Washed / Wet,7.33,0.7855000000000001
Mexico,Arabica,Washed / Wet,6.83,0.7855000000000001
Mexico,Arabica,Washed / Wet,7.0,0.775
Guatemala,Arabica,Washed / Wet,7.17,0.78125
Taiwan,Arabica,Washed / Wet,6.75,0.78325
Mexico,Arabica,Washed / Wet,6.92,0.77925
Guatemala,Arabica,Washed / Wet,7.42,0.773
Honduras,Arabica,Washed / Wet,7.0,0.7895
Guatemala,Arabica,Washed / Wet,6.83,0.7769999999999999
Guatemala,Arabica,Washed / Wet,6.83,0.7855000000000001
Costa Rica,Arabica,Washed / Wet,7.33,0.796
Mexico,Arabica,Washed / Wet,7.17,0.7707499999999999
Mexico,Arabica,Washed / Wet,6.92,0.7815
Mexico,Arabica,,6.92,0.7769999999999999
Guatemala,Arabica,Washed / Wet,7.67,0.7897500000000001
United States (Puerto Rico),Arabica,Washed / Wet,6.92,0.79575
Mexico,Arabica,Washed / Wet,6.83,0.77475
Mexico,Arabica,Washed / Wet,6.92,0.7769999999999999
Mexico,Arabica,Washed / Wet,7.25,0.775
,Arabica,,7.25,0.7769999999999999
Guatemala,Arabica,Washed / Wet,6.58,0.7895
Honduras,Arabica,Washed / Wet,7.0,0.775
Peru,Arabica,Washed / Wet,7.0,0.78775
Mexico,Arabica,Natural / Dry,7.0,0.775
Mexico,Arabica,Semi-washed / Semi-pulped,7.0,0.76475
Mexico,Arabica,Washed / Wet,6.83,0.77925
Mexico,Arabica,Washed / Wet,7.0,0.7707499999999999
Mexico,Arabica,Washed / Wet,6.75,0.7855000000000001
Nicaragua,Arabica,Other,6.75,0.77925
United States (Hawaii),Arabica,Natural / Dry,7.17,0.78325
Guatemala,Arabica,Washed / Wet,6.75,0.78525
Mexico,Arabica,Washed / Wet,6.67,0.78125
Mexico,Arabica,Semi-washed / Semi-pulped,7.0,0.75825
Mexico,Arabica,Washed / Wet,7.0,0.79375
China,Arabica,Washed / Wet,7.08,0.77725
Mexico,Arabica,Washed / Wet,6.83,0.77525
Nicaragua,Arabica,,6.92,0.779
Nicaragua,Arabica,Natural / Dry,6.67,0.779
Guatemala,Arabica,Washed / Wet,7.17,0.7605000000000001
Taiwan,Arabica,Washed / Wet,6.67,0.7645
Mexico,Arabica,Washed / Wet,6.67,0.773
Mexico,Arabica,Washed / Wet,7.5,0.7855000000000001
United States (Hawaii),Arabica,,7.25,0.7542500000000001
Mexico,Arabica,Washed / Wet,7.17,0.7645
Mexico,Arabica,Washed / Wet,6.83,0.77275
Mexico,Arabica,Washed / Wet,6.92,0.76675
Brazil,Arabica,Natural / Dry,6.83,0.76875
Mexico,Arabica,Washed / Wet,7.17,0.752
United States (Hawaii),Arabica,Natural / Dry,7.83,0.7625
Guatemala,Arabica,Washed / Wet,6.67,0.771
Guatemala,Arabica,Washed / Wet,6.5,0.7835
Mexico,Arabica,Natural / Dry,7.75,0.7457499999999999
Guatemala,Arabica,Washed / Wet,7.0,0.7645
United States (Hawaii),Arabica,Natural / Dry,7.42,0.77925
United States (Hawaii),Arabica,Natural / Dry,7.25,0.7605000000000001
Indonesia,Arabica,Washed / Wet,6.83,0.76675
Mexico,Arabica,Washed / Wet,6.75,0.779
Taiwan,Arabica,Washed / Wet,7.25,0.71875
Honduras,Arabica,Natural / Dry,6.67,0.7707499999999999
United States (Hawaii),Arabica,Natural / Dry,7.33,0.76025
Guatemala,Arabica,Washed / Wet,7.25,0.775
China,Arabica,Washed / Wet,7.17,0.7789999999999999
Guatemala,Arabica,Washed / Wet,6.67,0.7625
Mexico,Arabica,Washed / Wet,7.08,0.79575
Colombia,Arabica,,7.08,0.77325
Costa Rica,Arabica,Washed / Wet,6.83,0.7625
Mexico,Arabica,Washed / Wet,6.92,0.748
Guatemala,Arabica,Washed / Wet,7.17,0.76675
Nicaragua,Arabica,,7.17,0.7707499999999999
Brazil,Arabica,Washed / Wet,6.67,0.7707499999999999
Guatemala,Arabica,Washed / Wet,6.5,0.7665
Taiwan,Arabica,Washed / Wet,6.67,0.7645
United States (Hawaii),Arabica,Natural / Dry,7.58,0.8
Mexico,Arabica,Washed / Wet,6.67,0.76875
Guatemala,Arabica,Washed / Wet,6.17,0.773
Brazil,Arabica,Natural / Dry,7.0,0.76025
Guatemala,Arabica,Washed / Wet,6.67,0.7707499999999999
Mexico,Arabica,Washed / Wet,6.83,0.7645
Haiti,Arabica,Washed / Wet,6.83,0.7477499999999999
United States (Hawaii),Arabica,Natural / Dry,6.75,0.75625
Mexico,Arabica,Washed / Wet,6.92,0.752
Peru,Arabica,Washed / Wet,7.67,0.7939999999999999
India,Arabica,Natural / Dry,7.42,0.7875
Mexico,Arabica,,6.58,0.75
Guatemala,Arabica,Washed / Wet,6.5,0.73125
Mexico,Arabica,Washed / Wet,6.58,0.75825
Guatemala,Arabica,Washed / Wet,7.0,0.7585000000000001
Guatemala,Arabica,Washed / Wet,6.17,0.74175
United States (Hawaii),Arabica,Natural / Dry,7.08,0.75825
United States (Hawaii),Arabica,Natural / Dry,7.5,0.7625
Mexico,Arabica,Washed / Wet,6.75,0.71675
Indonesia,Arabica,Natural / Dry,6.67,0.781
Mexico,Arabica,Washed / Wet,6.58,0.7769999999999999
Honduras,Arabica,Natural / Dry,7.0,0.74975
Philippines,Arabica,Washed / Wet,6.67,0.73525
Brazil,Arabica,Natural / Dry,7.0,0.7335
Guatemala,Arabica,Washed / Wet,6.83,0.7707499999999999
Guatemala,Arabica,Washed / Wet,6.5,0.72525
Mexico,Arabica,Washed / Wet,6.83,0.748
Mexico,Arabica,Washed / Wet,6.58,0.7835
Mexico,Arabica,Washed / Wet,6.67,0.78125
Mexico,Arabica,Washed / Wet,6.75,0.76075
Mexico,Arabica,Washed / Wet,6.75,0.77725
Mexico,Arabica,Washed / Wet,6.42,0.7375
Mexico,Arabica,Washed / Wet,7.0,0.7895
Guatemala,Arabica,Washed / Wet,6.33,0.7125
Guatemala,Arabica,Washed / Wet,6.42,0.7105
Mexico,Arabica,Washed / Wet,6.75,0.73525
United States (Hawaii),Arabica,Natural / Dry,7.33,0.7542500000000001
Guatemala,Arabica,Washed / Wet,6.0,0.72075
Mexico,Arabica,Washed / Wet,6.67,0.7665
Mexico,Arabica,Washed / Wet,6.5,0.76475
Mexico,Arabica,Washed / Wet,7.08,0.8
United States (Hawaii),Arabica,Natural / Dry,7.33,0.7834999999999999
Brazil,Arabica,,6.67,0.72075
Honduras,Arabica,Washed / Wet,7.08,0.7292500000000001
Mexico,Arabica,Washed / Wet,6.92,0.727
Colombia,Arabica,Natural / Dry,7.33,0.7355
United States (Hawaii),Arabica,Natural / Dry,6.92,0.70225
Haiti,Arabica,,6.42,0.775
Costa Rica,Arabica,Washed / Wet,6.25,0.729
Mexico,Arabica,Washed / Wet,6.58,0.77525
Mexico,Arabica,Washed / Wet,6.42,0.7125
Mexico,Arabica,Washed / Wet,6.75,0.6835
Brazil,Arabica,Natural / Dry,6.67,0.6832499999999999
Honduras,Arabica,Washed / Wet,6.33,0.7
Honduras,Arabica,Washed / Wet,6.5,0.6917500000000001
Honduras,Arabica,Washed / Wet,6.33,0.7
Mexico,Arabica,Washed / Wet,6.75,0.779
Haiti,Arabica,Natural / Dry,6.42,0.7435
Nicaragua,Arabica,Other,6.17,0.65625
Guatemala,Arabica,Washed / Wet,6.67,0.7375
Honduras,Arabica,,0.0,0.0
Uganda,Robusta,,8.0,0.8539999999999999
India,Robusta,Washed / Wet,8.0,0.84175
India,Robusta,,8.0,0.8394999999999999
Uganda,Robusta,,8.08,0.84375
Uganda,Robusta,,7.67,0.86025
India,Robusta,,7.75,0.84175
India,Robusta,,7.83,0.8335000000000001
India,Robusta,Washed / Wet,7.92,0.8335000000000001
India,Robusta,Washed / Wet,7.92,0.83125
Uganda,Robusta,,7.83,0.8355
Uganda,Robusta,,7.83,0.825
India,Robusta,Natural / Dry,7.75,0.83125
India,Robusta,,8.33,0.82075
Uganda,Robusta,,7.67,0.8355
Uganda,Robusta,,7.75,0.8335000000000001
India,Robusta,,7.83,0.827
India,Robusta,Natural / Dry,7.83,0.8167500000000001
Uganda,Robusta,,7.58,0.8164999999999999
Uganda,Robusta,,7.42,0.8227499999999999
Uganda,Robusta,,7.5,0.8210000000000001
India,Robusta,,7.5,0.8230000000000001
India,Robusta,Natural / Dry,7.58,0.8105
United States,Robusta,Natural / Dry,7.33,0.80425
Ecuador,Robusta,,7.83,0.76025
Ecuador,Robusta,,8.58,0.7585
United States,Robusta,Natural / Dry,7.17,0.78725
India,Robusta,Natural / Dry,6.92,0.7707499999999999
Vietnam,Robusta,Natural / Dry,7.92,0.74175
